date,Open,High,Low,Close,Vol,Change %
10/14/2022,92.81,93.45,89.81,90.15,153.89,-0.0467
10/13/2022,92.49,94.92,91.08,94.57,280.52,0.0229
10/12/2022,93.72,95.17,91.56,92.45,257.66,-0.0195
10/11/2022,95.93,96.46,93.11,94.29,259.03,-0.0198
10/10/2022,98.75,98.75,95.6,96.19,215.37,-0.0177
10/07/2022,94.71,98.58,93.94,97.92,269.4,0.0371
10/06/2022,93.71,94.98,92.72,94.42,207.53,0.0112
10/05/2022,91.89,93.96,90.76,93.37,296.2,0.0171
10/04/2022,88.81,92.4,88.78,91.8,282.38,0.0331
10/03/2022,86.35,89.82,86.35,88.86,270.69,0.0102
09/30/2022,88.53,89.8,87.69,87.96,5.89,-0.006
09/29/2022,88.97,90.12,87.33,88.49,57.86,-0.0093
09/28/2022,86.14,89.47,84.26,89.32,74.33,0.0524
09/27/2022,82.84,85.84,82.81,84.87,252.52,0.0243
09/26/2022,85.54,86.45,82.44,82.86,257.04,-0.0255
09/23/2022,89.57,89.88,84.55,85.03,304.2,-0.0503
09/22/2022,88.83,91.74,88.28,89.53,219.29,0.0082
09/21/2022,89.57,92.23,88.31,88.8,247.64,-0.0067
09/20/2022,90.85,91.57,88.56,89.4,209.16,-0.0283
09/19/2022,91.43,92.57,88.5,92,138.53,0.0071
09/16/2022,90.51,92.66,90.25,91.35,197.48,0.0056
09/15/2022,94.65,94.66,90.03,90.84,257.62,-0.0346
09/14/2022,93.4,95.8,91.93,94.1,259.9,0.01
09/13/2022,94.31,95.53,91.05,93.17,275.17,-0.0088
09/12/2022,92.54,95.17,91.21,94,210.43,0.0125
09/09/2022,88.62,93.12,88.6,92.84,202.94,0.0476
09/08/2022,87.98,89.82,87.25,88.62,,0.007
09/07/2022,92.81,93.8,87.4,88,300.2,-0.052
09/06/2022,95.19,95.94,92.3,92.83,225.95,-0.0304
09/05/2022,93.02,96.99,93.02,95.74,144.26,0.0292
09/02/2022,92.66,95.32,92.65,93.02,210,0.0071
09/01/2022,95.18,95.68,91.81,92.36,297.55,-0.0428
08/31/2022,99.79,100.46,95.44,96.49,10.07,-0.0138
08/30/2022,102.88,103.48,96.63,97.84,356.1,-0.0495
08/29/2022,98.96,103.22,98.25,102.93,211.63,0.0396
08/26/2022,98.95,100.1,96.96,99.01,277.48,0.0056
08/25/2022,100.79,101.53,98.23,98.46,223.98,-0.0187
08/24/2022,99.3,100.89,98.27,100.34,233.92,0.0118
08/23/2022,96,99.41,95.81,99.17,198.99,0.0351
08/22/2022,95.36,96.66,92,95.81,186.81,-0.0094
08/19/2022,96.68,97.88,94.25,96.72,178.6,0.0013
08/18/2022,93.29,97.42,93.05,96.59,208.55,0.0314
08/17/2022,92.67,94.48,91.51,93.65,199.19,0.0142
08/16/2022,94.01,95.95,91.71,92.34,217.75,-0.029
08/15/2022,97.72,98.17,92.78,95.1,217.57,-0.0311
08/12/2022,99.33,100.38,96.94,98.15,188.13,-0.0146
08/11/2022,97.04,100.17,96.63,99.6,219.42,0.0226
08/10/2022,96.34,97.97,93.63,97.4,247.74,0.0113
08/09/2022,96.36,98.4,94.9,96.31,219.67,-0.0035
08/08/2022,94.51,96.82,93.01,96.65,201.25,0.0182
08/05/2022,93.65,96.4,92.78,94.92,216.2,0.0085
08/04/2022,97.1,97.66,93.2,94.12,264.81,-0.0275
08/03/2022,99.73,102.41,96.5,96.78,293.11,-0.0374
08/02/2022,99.87,102.41,98.49,100.54,229.68,0.0051
08/01/2022,103.92,104.43,99.09,100.03,272.84,-0.0907
07/29/2022,108,110.67,106.9,110.01,9.13,0.0268
07/28/2022,107.31,109.06,106,107.14,80.84,0.0049
07/27/2022,104.75,107.86,103.73,106.62,77.69,0.0213
07/26/2022,104.73,107.34,103.99,104.4,110,-0.0071
07/25/2022,103.85,105.38,101.64,105.15,123.67,0.0189
07/22/2022,103.86,105.72,101.9,103.2,137.24,-0.0064
07/21/2022,106.49,106.78,101.5,103.86,228.7,-0.0286
07/20/2022,107.07,107.45,105.08,106.92,186.7,-0.004
07/19/2022,105.74,107.61,103.6,107.35,226.4,0.0102
07/18/2022,100.82,106.48,99.46,106.27,213.5,0.0505
07/15/2022,99.91,102.64,98.17,101.16,218.09,0.0208
07/14/2022,99.43,100.39,94.5,99.1,318.79,-0.0047
07/13/2022,98.5,101.21,98.28,99.57,247.47,0.0008
07/12/2022,106.25,106.56,98.9,99.49,275.62,-0.0711
07/11/2022,107,107.7,103.64,107.1,194.66,0.0007
07/08/2022,104.65,107.47,103.67,107.02,238.35,0.0226
07/07/2022,100.14,106.35,98.5,104.65,279.66,0.0393
07/06/2022,104.88,105.85,98.5,100.69,350.3,-0.0202
07/05/2022,113.54,114.75,101.1,102.77,428.84,-0.0945
07/04/2022,111.65,114,110.4,113.5,100.59,0.0168
07/01/2022,109.49,112.45,108.03,111.63,235.42,-0.0277
06/30/2022,116.01,116.67,114.22,114.81,7.11,-0.0125
06/29/2022,117.96,120.41,115.2,116.26,54.34,-0.0146
06/28/2022,115.74,118.27,115.72,117.98,65.76,0.0251
06/27/2022,112.92,116.08,111.26,115.09,118.1,0.0174
06/24/2022,110.04,114,109.24,113.12,134.18,0.0279
06/23/2022,109.58,112.7,108.04,110.05,195.92,-0.0151
06/22/2022,114.4,114.45,107.03,111.74,293.05,-0.0254
06/21/2022,114.21,116.25,114.02,114.65,204.03,0.0046
06/20/2022,113.88,114.5,111.52,114.13,161.6,0.0089
06/17/2022,119.13,121.25,111.72,113.12,319.91,-0.0558
06/16/2022,119.65,120.29,115.56,119.81,276.68,0.011
06/15/2022,120.79,121.88,117.75,118.51,231.06,-0.022
06/14/2022,121.88,125.19,118.91,121.17,291.26,-0.009
06/13/2022,121.94,123.7,118.93,122.27,257.11,0.0021
06/10/2022,122.89,124.33,119.81,122.01,294.28,-0.0086
06/09/2022,123.6,124.34,122.5,123.07,218.98,-0.0041
06/08/2022,120.65,124.4,120.45,123.58,256.29,0.025
06/07/2022,119.94,121.37,118.55,120.57,276.72,0.0089
06/06/2022,121.55,121.95,118.77,119.51,204.09,-0.0018
06/03/2022,118.22,121.45,116.02,119.72,141.66,0.0179
06/02/2022,115.02,118.46,112.45,117.61,216.9,0.0114
06/01/2022,116.08,118.57,115.4,116.29,242.16,-0.0533
05/31/2022,122.2,125.28,121.6,122.84,11.56,0.0096
05/30/2022,119.28,122.01,118.98,121.67,42.41,0.0188
05/27/2022,117.52,119.72,116.63,119.43,81.16,0.0173
05/26/2022,114.35,118,113.85,117.4,123.58,0.0296
05/25/2022,114.12,115.3,113.01,114.03,152.33,0.0041
05/24/2022,112.79,114.63,111.7,113.56,191.73,0.0012
05/23/2022,112.85,114.34,111.86,113.42,196.51,0.0077
05/20/2022,111.45,113.23,110.52,112.55,180.89,0.0046
05/19/2022,108.22,112.31,105.7,112.04,272.35,0.0269
05/18/2022,112.91,114.15,108.35,109.11,245.04,-0.0252
05/17/2022,114.42,115.69,111.09,111.93,277.89,-0.0202
05/16/2022,111.67,114.79,108.84,114.24,218.44,0.0241
05/13/2022,108.25,111.69,107.79,111.55,220.32,0.0382
05/12/2022,107.67,108.71,104.69,107.45,264.26,-0.0006
05/11/2022,101.51,108.29,101.3,107.51,287.53,0.0493
05/10/2022,105.5,106.96,101.54,102.46,327.99,-0.0328
05/09/2022,112.94,113.2,105,105.94,302.17,-0.0574
05/06/2022,111.27,113.5,109.87,112.39,249.83,0.0134
05/05/2022,110.55,114,109.2,110.9,279.88,0.0069
05/04/2022,105.91,111,105.46,110.14,241.68,0.0493
05/03/2022,107.61,108.32,104.62,104.97,184.2,-0.0243
05/02/2022,106.3,108.46,103.1,107.58,151.34,-0.0161
04/29/2022,107.55,110.3,107,109.34,12.02,0.0163
04/28/2022,104.96,108,103.29,107.59,73.32,0.0216
04/27/2022,105.45,106.33,103.27,105.32,67.06,0.0031
04/26/2022,102.53,106.2,101.08,104.99,138.2,0.0261
04/25/2022,105.49,105.85,99.48,102.32,156.35,-0.0406
04/22/2022,108.26,108.76,105.54,106.65,125.87,-0.0155
04/21/2022,107.07,109.8,106.76,108.33,185.38,0.0143
04/20/2022,108.1,109,104.65,106.8,243.67,-0.0042
04/19/2022,112.85,114.21,106.74,107.25,239.91,-0.0522
04/18/2022,112.32,114.84,110.71,113.16,132.15,0.0131
04/14/2022,108.29,112.39,106.63,111.7,210.18,0.0268
04/13/2022,105.44,109,104.06,108.78,247.26,0.0396
04/12/2022,99.35,105.6,98.9,104.64,273.95,0.0626
04/11/2022,103.21,103.3,97.57,98.48,238.69,-0.0418
04/08/2022,101.42,103.3,99.65,102.78,217.64,0.0219
04/07/2022,101.78,103.59,98.41,100.58,296.03,-0.0048
04/06/2022,105.7,108.67,100.54,101.07,286.52,-0.0522
04/05/2022,108.51,109.9,104.53,106.64,203.06,-0.0083
04/04/2022,104.08,108.68,102.89,107.53,218.68,0.0301
04/01/2022,105.25,106.24,102.35,104.39,238.62,-0.0326
03/31/2022,112.81,112.94,106.5,107.91,8.68,-0.0488
03/30/2022,112,114.8,110.74,113.45,72.33,0.0292
03/29/2022,110.1,114.83,104.84,110.23,93.68,-0.02
03/28/2022,119.9,119.9,109.06,112.48,150.82,-0.0677
03/25/2022,118.88,120.92,115.16,120.65,133.46,0.0136
03/24/2022,121.56,123.74,116.93,119.03,177.66,-0.0211
03/23/2022,114.7,122.34,114.45,121.6,224.53,0.053
03/22/2022,117.04,119.48,112.64,115.48,204.66,-0.0012
03/21/2022,107.5,116.8,107.06,115.62,196.49,0.0712
03/18/2022,106.8,109.59,105.78,107.93,168.91,0.0121
03/17/2022,98.61,107.5,97.75,106.64,200.95,0.0879
03/16/2022,99.14,103.7,96.93,98.02,246.82,-0.0189
03/15/2022,105.34,105.71,97.44,99.91,318.12,-0.0654
03/14/2022,113.15,113.15,103.49,106.9,265.91,-0.0512
03/11/2022,110.26,113.91,107.13,112.67,287.39,0.0305
03/10/2022,112.65,118.36,109,109.33,352.34,-0.0163
03/09/2022,130.28,131.64,105.6,111.14,521.58,-0.1316
03/08/2022,124.56,133.15,121.31,127.98,469.99,0.0387
03/07/2022,122.79,139.13,119.04,123.21,419.93,0.0432
03/04/2022,114.23,118.98,109.62,118.11,334.41,0.0693
03/03/2022,115.27,119.84,109.4,110.46,452.52,-0.0219
03/02/2022,107.34,115.11,106.83,112.93,490.57,0.0758
03/01/2022,98.43,107.67,98.3,104.97,492.51,0.0394
02/28/2022,101.98,105.07,99.64,100.99,22.96,0.0312
02/25/2022,100.69,101.99,96,97.93,68.98,-0.0116
02/24/2022,98.08,105.79,97.56,99.08,167.79,0.0231
02/23/2022,96.65,98.71,95.81,96.84,238.63,0
02/22/2022,96.55,99.5,95.8,96.84,316.38,0.0152
02/21/2022,94.29,97.4,92.57,95.39,217.04,0.0198
02/18/2022,92.73,94.15,90.12,93.54,348.35,0.0061
02/17/2022,92.2,94.5,92.14,92.97,347.79,-0.0194
02/16/2022,93.49,96.07,91.11,94.81,393.79,0.0164
02/15/2022,95.81,96.26,92.06,93.28,378.25,-0.0332
02/14/2022,95.2,96.78,93.44,96.48,373.09,0.0216
02/11/2022,91.17,95.66,90.51,94.44,452.11,0.0331
02/10/2022,91.75,93.1,90.88,91.41,369.01,-0.0015
02/09/2022,91.08,92.09,90.05,91.55,294,0.0085
02/08/2022,92.63,92.93,89.93,90.78,368.55,-0.0206
02/07/2022,92.75,94,92.13,92.69,317.29,-0.0062
02/04/2022,91.3,93.7,91.2,93.27,322.13,0.0237
02/03/2022,89.07,91.3,88.02,91.11,301.79,0.0183
02/02/2022,89.48,90.52,88.28,89.47,319.43,0.0035
02/01/2022,89.62,89.96,87.72,89.16,271.77,-0.0225
01/31/2022,90.8,91.48,90.61,91.21,11.01,0.0131
01/28/2022,89.98,91.7,89.41,90.03,102.01,0.0077
01/27/2022,89.7,91.04,89,89.34,131.7,-0.0069
01/26/2022,87.95,90.47,87.79,89.96,260.11,0.02
01/25/2022,86.76,88.37,86.2,88.2,256.21,0.0224
01/24/2022,87.93,88.9,85.04,86.27,309.89,-0.0184
01/21/2022,86.75,88.23,85.71,87.89,288.21,-0.0055
01/20/2022,87.89,89.5,87.05,88.38,279.52,-0.0007
01/19/2022,88.65,89.17,87.61,88.44,350.94,0.0106
01/18/2022,86.47,88.66,86.44,87.51,356.88,0.0119
01/17/2022,86.15,86.71,85.54,86.48,139.82,0.0049
01/14/2022,84.12,86.5,83.99,86.06,304.72,0.0188
01/13/2022,84.87,85.1,83.79,84.47,265.2,-0.0024
01/12/2022,83.78,85.21,83.52,84.67,301.39,0.0113
01/11/2022,81.08,83.98,80.89,83.72,324.94,0.0352
01/10/2022,81.76,82.3,80.5,80.87,300.65,-0.0108
01/07/2022,82,83,81.42,81.75,286.11,-0.0029
01/06/2022,80.22,82.83,79.61,81.99,353.16,0.0147
01/05/2022,80.07,81.5,79.51,80.8,331.74,0.01
01/04/2022,78.91,80.55,78.62,80,291.68,0.0129
01/03/2022,78.11,79.28,77.04,78.98,201.03,0.0154
12/31/2021,78.81,79.68,77.55,77.78,148.96,-0.0194
12/30/2021,79.19,79.66,78.5,79.32,10.9,0.0011
12/29/2021,79.28,80.17,78.13,79.23,69.63,0.0037
12/28/2021,78.67,79.85,78.48,78.94,50.41,0.0043
12/27/2021,76.32,79.08,75.75,78.6,85.39,0.0323
12/24/2021,76.72,76.79,75.75,76.14,30.54,-0.0092
12/23/2021,75.47,77,74.78,76.85,161.24,0.0207
12/22/2021,74.05,75.67,73.62,75.29,166.71,0.0177
12/21/2021,71.88,74.27,71.24,73.98,214.07,0.0344
12/20/2021,72.82,72.87,69.28,71.52,333.76,-0.0272
12/17/2021,74.5,74.98,72.65,73.52,231.41,-0.02
12/16/2021,74.47,75.61,74,75.02,223.64,0.0154
12/15/2021,73.25,74.58,72.5,73.88,233.19,0.0024
12/14/2021,74.42,75.16,72.57,73.7,277.86,-0.0093
12/13/2021,75.37,76.39,74.2,74.39,265.51,-0.0101
12/10/2021,73.99,75.71,73.8,75.15,221.36,0.0098
12/09/2021,75.94,76.7,73.84,74.42,283.39,-0.0185
12/08/2021,75.44,76.37,74.38,75.82,322.08,0.005
12/07/2021,73.6,76.27,73.2,75.44,312.28,0.0323
12/06/2021,70.24,73.8,70.24,73.08,255.4,0.0458
12/03/2021,70.22,72.62,69.24,69.88,331.82,0.003
12/02/2021,69.72,70.7,65.72,69.67,526.6,0.0116
12/01/2021,69.8,72.87,68.14,68.87,420.4,-0.0241
11/30/2021,74.42,74.56,70.22,70.57,24.82,-0.0391
11/29/2021,73.88,77.02,72.41,73.44,126.35,0.0099
11/26/2021,81.65,81.66,72.14,72.72,170.78,-0.1155
11/25/2021,82.24,82.58,81.7,82.22,80.45,-0.0004
11/24/2021,81.88,83,81.74,82.25,231.07,-0.0007
11/23/2021,79.51,82.6,78.55,82.31,366.6,0.0327
11/22/2021,78.58,80.07,77.58,79.7,350.9,0.0103
11/19/2021,81,82.24,78.05,78.89,479.93,-0.0289
11/18/2021,80.1,81.41,79.28,81.24,306.85,0.012
11/17/2021,82.05,82.22,79.78,80.28,406.75,-0.0261
11/16/2021,82,83.14,81.52,82.43,340.72,0.0046
11/15/2021,81.92,82.49,80.67,82.05,273.72,-0.0015
11/12/2021,82.83,82.87,81.26,82.17,289.3,-0.0084
11/11/2021,82.85,83.44,81.66,82.87,336.14,0.0028
11/10/2021,84.99,85.5,82.08,82.64,366.31,-0.0252
11/09/2021,83.47,85.3,83.16,84.78,346.57,0.0162
11/08/2021,82.58,84,82.53,83.43,269.6,0.0083
11/05/2021,81.25,83.16,80.26,82.74,379.69,0.0273
11/04/2021,81.58,84.49,80.2,80.54,472.43,-0.0177
11/03/2021,84.07,84.2,81.1,81.99,380.11,-0.0322
11/02/2021,84.45,85.23,83.76,84.72,317.07,0.0001
11/01/2021,83.63,85.12,83.03,84.71,302.9,0.0039
10/29/2021,84.33,84.83,83.79,84.38,22.77,0.0007
10/28/2021,84.21,84.59,82.32,84.32,118.14,-0.0031
10/27/2021,86.07,86.28,84.05,84.58,149.75,-0.0211
10/26/2021,86.03,86.5,85.27,86.4,222.56,0.0048
10/25/2021,85.65,86.7,85.43,85.99,294.55,0.0054
10/22/2021,84.52,85.93,83.82,85.53,298.35,0.0109
10/21/2021,85.9,86.1,83.36,84.61,373.65,-0.0141
10/20/2021,85.19,85.89,83.61,85.82,378.69,0.0087
10/19/2021,84.21,85.4,83.7,85.08,371.79,0.0089
10/18/2021,84.95,86.04,83.95,84.33,340.96,-0.0062
10/15/2021,84.3,85.1,84.16,84.86,276.47,0.0102
10/14/2021,83.45,84.5,83.18,84,316.64,0.0099
10/13/2021,83.1,83.69,82.2,83.18,333.68,-0.0029
10/12/2021,83.49,84.23,82.72,83.42,331.41,-0.0027
10/11/2021,82.65,84.6,82.54,83.65,330.44,0.0153
10/08/2021,82.38,83.43,81.96,82.39,360.97,0.0054
10/07/2021,80.98,82.5,79.08,81.95,393.1,0.0107
10/06/2021,82.57,83.47,80.6,81.08,401.36,-0.0179
10/05/2021,81.27,83.13,81.19,82.56,340.27,0.016
10/04/2021,79.49,82,78.75,81.26,362.37,0.025
10/01/2021,78.49,79.41,77.55,79.28,282.37,0.0097
09/30/2021,78.46,79.11,77.6,78.52,20.51,-0.0015
09/29/2021,78.25,79.4,77.5,78.64,97.97,-0.0057
09/28/2021,79.4,80.75,78.1,79.09,132.33,-0.0055
